supplier_id,name,country,city,tier,certifications,capacity_rating,lead_time_days,quality_score,financial_stability,specialty_materials,established_year,employee_count,annual_revenue_usd
SUP_4248702D,"Wheeler, Carter and Hall Inc",India,Jacquelinemouth,Tier 1,['ISO 9001'],1,53,8.66,Moderate Risk,"['Lithium Batteries', 'PEEK Polymer', 'Stainless Steel 316L', 'Circuit Boards']",1999,3311,385900794
SUP_FD5D5060,Mcdaniel LLC GmbH,Israel,South Danny,Tier 3,"['ISO 9001', 'ISO 13485']",3,47,8.93,Moderate Risk,"['Rare Earth Magnets', 'Pharmaceutical Excipients', 'PEEK Polymer', 'Lithium Batteries']",2020,4865,98690714
SUP_F28A03AA,Holland LLC GmbH,Vietnam,North Brian,Tier 3,['ISO 13485'],9,26,7.91,Stable,"['Polyethylene', 'Pharmaceutical Excipients', 'Rare Earth Magnets']",1998,696,135542703
SUP_9DA615C9,Larson-Holloway Pte Ltd,Malaysia,Scottmouth,Tier 2,['CE Mark'],10,75,7.28,High Risk,"['Circuit Boards', 'Ceramic Components']",1989,1452,354654517
SUP_0578F8AB,"Torres, Powell and Nelson Pte Ltd",Brazil,Kimton,Tier 2,"['ISO 13485', 'GMP', 'ISO 9001']",1,89,9.31,Moderate Risk,"['Circuit Boards', 'Electronic Components']",2019,298,268382145
SUP_7D36429C,Navarro-Munoz Pte Ltd,Indonesia,North Jeremyshire,Tier 2,"['CE Mark', 'ISO 9001', 'ISO 13485']",7,45,8.36,High Risk,['Latex'],2008,3454,260980346
SUP_DDA0D26A,"Sampson, Key and Chambers Inc",Netherlands,Barbaraburgh,Tier 2,"['FDA 510k', 'CE Mark', 'ISO 9001']",6,51,9.93,Stable,"['Rare Earth Magnets', 'Lithium Batteries', 'Polycarbonate Resin']",2000,2030,251435553
SUP_24E328C2,Stone-Ramos Corp,India,Howardshire,Tier 2,['FDA 510k'],2,13,7.87,Moderate Risk,"['Electronic Components', 'Polyethylene', 'Latex', 'Glass Vials', 'Lithium Batteries']",1992,1355,268504272
SUP_ED9D6553,Walters-Vasquez GmbH,United Kingdom,South Michaelmouth,Tier 2,"['ISO 9001', 'ISO 13485']",2,57,8.52,Stable,"['Circuit Boards', 'Pharmaceutical Excipients']",1983,464,152052032
SUP_EA827812,Santiago-Hodge Pte Ltd,France,Robertfort,Tier 3,"['ISO 9001', 'CE Mark', 'GMP']",1,20,8.29,Moderate Risk,"['Active Pharmaceutical Ingredients', 'Pharmaceutical Excipients', 'Titanium Alloy']",2005,469,307167625
SUP_E7CAF991,Bates-Morales Inc,Canada,South Christopherview,Tier 2,"['CE Mark', 'ISO 13485', 'FDA 510k']",9,64,9.29,Moderate Risk,"['Optical Fibers', 'Polycarbonate Resin', 'PEEK Polymer', 'Ceramic Components', 'Active Pharmaceutical Ingredients']",2003,2827,300483685
SUP_FAEA0C49,Wilson-Barton Inc,Switzerland,Lake Mollymouth,Tier 1,"['GMP', 'ISO 9001', 'CE Mark']",1,12,7.12,High Risk,"['Aluminum', 'Rare Earth Magnets', 'Copper Wire']",1989,4273,76044347
SUP_BD78F717,Brown-Stone Pte Ltd,Italy,Garrettton,Tier 2,['ISO 9001'],10,45,8.78,High Risk,"['Lithium Batteries', 'Aluminum', 'Circuit Boards', 'PVC Medical Grade', 'Optical Fibers']",1981,3067,178832901
SUP_AE4F997C,Adams and Sons Ltd,Philippines,Samuelfort,Tier 2,"['CE Mark', 'ISO 13485', 'GMP']",8,40,9.9,High Risk,"['Polyethylene', 'Titanium Alloy', 'Circuit Boards', 'Aluminum', 'Latex']",2013,3164,80336479
SUP_C5FAD565,Johnson Ltd Inc,Philippines,Lake Eric,Tier 1,"['ISO 13485', 'FDA 510k', 'GMP']",8,47,8.26,Moderate Risk,"['Electronic Components', 'Rare Earth Magnets']",2019,3913,469590437
SUP_0A860C16,"Smith, Russell and Walker Ltd",Israel,South Staceyberg,Tier 3,['GMP'],4,78,7.98,High Risk,"['Rare Earth Magnets', 'Active Pharmaceutical Ingredients', 'Glass Vials', 'Latex']",2009,4417,184785417
SUP_62FD7A1D,Cantu-Carter Corp,Canada,Robertfort,Tier 3,"['CE Mark', 'ISO 9001', 'ISO 13485']",4,42,8.67,Stable,"['PVC Medical Grade', 'Nitrile Rubber', 'Aluminum']",2000,3980,188262279
SUP_1318D421,Sanchez-Arnold Corp,Canada,Leehaven,Tier 2,['GMP'],9,55,9.69,Moderate Risk,"['PEEK Polymer', 'PVC Medical Grade', 'Titanium Alloy']",1998,697,186952495
SUP_EB070827,"Suarez, Shields and Hill Corp",Netherlands,Morganhaven,Tier 3,"['FDA 510k', 'GMP']",9,41,9.8,High Risk,"['PEEK Polymer', 'Polycarbonate Resin', 'Circuit Boards']",1995,2036,28254480
SUP_AF391359,Hoover-Campbell Pte Ltd,Philippines,Maryshire,Tier 1,"['FDA 510k', 'ISO 13485', 'ISO 9001']",7,49,9.15,Stable,"['Medical Grade Silicone', 'Lithium Batteries']",1990,3383,351519150
SUP_45D4024A,"Burns, Hernandez and Ryan GmbH",France,Martinside,Tier 3,['CE Mark'],6,43,8.94,Stable,"['Polyethylene', 'Lithium Batteries', 'Titanium Alloy', 'Latex', 'Electronic Components']",1991,347,449933172
SUP_93903759,Gibson-Morris GmbH,Ireland,Lake John,Tier 1,"['CE Mark', 'ISO 13485', 'ISO 9001']",5,79,8.81,Moderate Risk,"['Copper Wire', 'Lithium Batteries', 'Rare Earth Magnets']",2011,1149,457909217
SUP_5026A7F2,Hall-Rowe GmbH,United Kingdom,West Juliefurt,Tier 2,['ISO 13485'],6,27,9.19,High Risk,"['Latex', 'Medical Grade Silicone', 'Glass Vials']",1998,4701,363066354
SUP_4E1A3D98,Mcneil-Sparks Inc,Malaysia,South Tammie,Tier 3,"['ISO 9001', 'GMP', 'CE Mark']",6,18,8.2,Stable,"['PEEK Polymer', 'Aluminum']",2000,2082,4666894
SUP_576C5CB5,Shaw PLC GmbH,South Korea,Mollymouth,Tier 1,"['CE Mark', 'GMP']",5,81,9.17,Stable,"['Ceramic Components', 'Pharmaceutical Excipients', 'Polyethylene']",1983,1018,250857032
SUP_01C8C903,Fox Group Inc,Japan,Lake Douglasberg,Tier 2,"['GMP', 'CE Mark', 'ISO 9001']",2,88,9.75,Moderate Risk,"['Optical Fibers', 'Polyethylene', 'Ceramic Components']",1988,3967,83240874
SUP_8DE837AD,Harrison LLC Pte Ltd,Netherlands,Cindyfurt,Tier 2,"['GMP', 'ISO 9001']",9,34,9.29,High Risk,"['Stainless Steel 316L', 'Rare Earth Magnets', 'Copper Wire', 'Optical Fibers', 'Pharmaceutical Excipients']",1984,4671,61241639
SUP_6DBE1F99,"Miller, Murphy and Craig Pte Ltd",Germany,Finleyfort,Tier 3,['GMP'],9,26,7.49,High Risk,"['Polycarbonate Resin', 'Nitrile Rubber', 'Circuit Boards', 'Aluminum']",1985,4230,240166697
SUP_714AEAF2,"Johnson, Jones and Welch GmbH",Germany,Wendyland,Tier 1,"['ISO 9001', 'GMP', 'CE Mark']",1,78,8.39,Moderate Risk,['Active Pharmaceutical Ingredients'],1996,74,401400735
SUP_0155EF3E,Good-Hodges Pte Ltd,Malaysia,South Garrettport,Tier 1,['ISO 9001'],6,15,8.62,Stable,['Aluminum'],1982,2401,220508765
SUP_469D5624,Williams Inc Inc,Thailand,Michaelchester,Tier 3,"['ISO 9001', 'CE Mark', 'FDA 510k']",8,55,8.13,High Risk,"['PEEK Polymer', 'Pharmaceutical Excipients', 'Polycarbonate Resin', 'Latex', 'Active Pharmaceutical Ingredients']",2013,1093,391765860
SUP_ABA73E05,Sanchez Group Ltd,Singapore,East Gregory,Tier 1,"['ISO 9001', 'GMP']",9,55,9.47,Stable,"['Pharmaceutical Excipients', 'PEEK Polymer', 'Polypropylene', 'Nitrile Rubber']",1987,313,435585289
SUP_DB38B677,"Pitts, Harvey and Allen GmbH",Philippines,East Steven,Tier 3,['FDA 510k'],4,15,7.3,Stable,"['Optical Fibers', 'Titanium Alloy', 'Polyethylene', 'Ceramic Components']",2005,3645,126809940
SUP_08066134,Stevens-Estrada Inc,Canada,Santanaside,Tier 1,['GMP'],5,36,9.45,High Risk,"['Glass Vials', 'Circuit Boards', 'Ceramic Components', 'Polyethylene', 'PVC Medical Grade']",1989,4320,119671419
